Full Name,Team,Hometown
Andjela Bigovic,seattle,"Herceg Novi, Montenegro"
Lucija Milkovic,seattle,"Sibenik, Croatia"
Chloe Emanga,seattle,"Marbach Am Neckar, Germany"
Jana Vesic,seattle,"Belgrade, Serbia"
Katelyn Field,osu,"Melbourne, Australia"
Lucia Navarro,osu,"Valencia, Spain"
Susana Yepes,osu,"Medellin, Colombia"
Lizzy Williamson,osu,"Adelaide, Australia"
Elisa Mehyar,osu,"Copenhagen, Denmark"
Lara Alonso-Basurto,osu,"Madrid, Spain"
Keira Lindemans,osu,"Melbourne, Australia"
Catarina Ferreira,osu,"Sao Paulo, Brazil"
Cloe Vecina,osu,"Vigo, Spain"
Néné Sow,osu,"Brussels, Belgium"
Taija Sta. Maria,pepperdine,"Toronto, Ontario, Canada"
Bella Green,pepperdine,"Perth, Australia"
Ilinca Belegante,pepperdine,"Bucharest, Romania"
Shorna Preston,pepperdine,"Christchurch, New Zealand"
Lina Falk,pepperdine,"Wolfenbüttel, Germany"
Irune Orio,pepperdine,"Balmaseda, Spain"
Zoe Shanahan,pepperdine,"Melbourne, Australia"
Vera Gunaydin,gonzaga,"Ankara, Turkey"
Ines Bettencourt,gonzaga,"Sao Miguel, Portugal"
Christabel Osarobo,gonzaga,"Tudela, Spain"
Lauren Whittaker,gonzaga,"Canterbury, New Zealand"
Ana Milanovic,lmu,"Belgrade, Serbia"
Lova Lagerlid,lmu,"Stockholm, Sweden"
Ivana Krajina,lmu,"Kastel Novi, Croatia"
Andjela Matic,lmu,"Ub, Serbia"
Paula Reus Piza,lmu,"Palma De Mallorca, Spain"
Sienna Grieger,santa clara,"West Adelaide, Australia"
Maia Jones,santa clara,"Tasman, New Zealand"
Alana Goodchild,santa clara,"Sydney, Australia"
Amy Kurkowski,smc,"Melbourne, Australia"
Edie Clarke,smc,"Melbourne, Australia"
Emily Foy,smc,"Newcastle, Australia"
Georgia Grigoropoulou,smc,"Athens, Greece"
Stella Szabo,pacific,"Stockholm, Sweden"
Marina Radocaj,pacific,"Richmond, Canada"
Luisa Anderegg,pacific,"Cologne, Germany"
Daria Nestorov,pacific,"Zrenjanin, Serbia"
Winner Bartholomew,pacific,"Abuja, Nigeria"
Tyla Fautua,pacific,"Brisbane, Australia"
Mara Neira,usf,"Baiona, Spain"
Noelia Mourino,usf,"O Porrino, Spain"
Nevaeh Ferrara Horne,usf,"Regina, Saskatchewan, Canada"
Aina Cargol,usf,"Olot, Spain"
Amy Pateman,usf,"Auckland, New Zealand"
Natasa Tausova,usf,"Poprad, Slovakia"
Michelle Ugwah,usf,"Cork, Ireland"
Paula Tirado,usf,"Mataro, Spain"
Candy Edokpaigbe,usf,"Naples, Italy"
Sol Castro,usf,"Rio Colorado, Argentina"
Sophia Priestley,usf,"Oslo, Norway"
Malvina Haziri,wsu,"Vushtrria, Kosovo"
Eleonora Villa,wsu,"Lissone, Italy"
Jean Chiu,wsu,"Taipei, Taiwan"
Tahara Magassa,wsu,"Paris, France"
Mackenzie Chatfield,wsu,"Auckland, New Zealand"
Tanja Valancic,wsu,"Ljubljana, Slovenia"
Charlotte Abraham,wsu,"Cambrai, France"
Marta Alsina,wsu,"Barcelona, Spain"
Keandra Koorits,wsu,"Tallinn, Estonia"
Goundo Diakite Bayo,portland,"Barcelona, Spain"
Dyani Ananiev,portland,"St. Andrews, Australia"
Florence Dallow,portland,"Auckland, New Zealand"
Tiffany Barbosa,portland,"Stockholm, Sweden"
Jada Kennedy,portland,"Melbourne, Australia"
Lilly Amor,san diego,"Melbourne, Victoria, Australia"
Malia Tharpe,san diego,"Cottesloe, Western Australia, Australia"
Eva Ruse,san diego,"North Vancouver, British Columbia, Canada"
