"#","Full Name","Pos.","Academic Year","Ht.","Hometown / High School","Previous School"
"0","Nicole Steiner","F","Fr.","6-2","Los Gatos, Calif. / Los Gatos HS",""
"1","Mimi Moon","G","Fr.","5-7","Oxnard, Calif. / Buena HS",""
"3","Maddy Tauro","G","So.","5-8","Calabasas, Calif. / Calabasas HS",""
"4","Jana Falsdottir","G","So.","5-6","Keflavik Iceland / Verzlunarskoli Islands Gymnasium",""
"5","Maxine Sutisna","G","Fr.","5-10","Jakarta, Indonesia / Archbishop Riordan HS",""
"10","Dylan Swindle","G","Fr.","5-7","Laveen, Arizona / Phoenix Fire Prep",""
"11","Nyemah King","G/F","Fr.","5-11","Long Beach, Calif. / Lakewood HS",""
"13","Lilliana Petersen","F","So.","6-2","Omaha, Neb. / Central Omaha HS","Cloud County Community College"
"22","Madelynn Muniz","G","R-So.","5-10","Phoenix, Arizona / Boulder Creek HS","University of Idaho"
"23","Talia Maxwell","F","Jr.","6-3","Fresno, Calif. / Central HS","Stanislaus State University"
"24","Basak Orhan","G/F","Fr.","6-1","Ankara, Turkey / TED Ankara Kolejliler Spor Club",""
"33","Kya Pearson","G","Gr.","5-9","Oakland, Calif. / Oakland HS","Cal State University Dominguez Hills / University of Alaska Anchorage / Laney CC"
"55","Cristina Jones","F","So.","5-10","Long Beach, Calif. / Lakewood HS","Cal State University Dominguez Hills"
