"No. ","Image","Name","Pos. ","Ht.","Cl.","Hometown / High School","Previous School"
"1","","Kira-May Filemu","G","5-11","So.","Wattle Grove, New South Wales, Australia / Westfields Sports High School",""
"2","","Teyahna Bond","G","5-8","Fr.","Cairns, Australia / St. Monica's College",""
"3","","Bailey Flavell","G","5-10","Fr.","Auckland, New Zealand / Takapuna Grammar School",""
"4","","Jovi Lefotu","G","5-8","R-Jr.","Kane‘ohe, O‘ahu / ‘Iolani School",""
"6","","Kyra Webb","G","6-1","Fr.","Melbourne, Australia / Padua College",""
"7","","Ella Collins","G","5-8","Fr.","Canberra, Australia / St. Clare's College",""
"8","","Rebecca Moors","F","6-2","So.","Auckland, New Zealand / Westlake Girls High School",""
"10","","Danijela Kujovic","F","6-1","Rf.","Victoria, Australia / Our Lady of Mercy College",""
"11","","Keiara Curtis","G","5-8","Fr.","Seattle, Wash. / Bellarmine Prep HS",""
"12","","Imani Perez","F","6-4","Sr.","Denver, Colo. / Mullen HS",""
"17","","Fiamma Serra","F","6-4","Fr.","La Spezia, Italy / IIS G. Bertacchi",""
"20","","Izzy Forsyth","G","6-0","Sr.","Vancouver, BC, Canada / Semiahmoo Secondary","UC San Diego"
"22","","Jade Peacock","G","6-0","Jr.","Gold Coast, Australia / Hillcrest Christian College",""
"24","","Ritorya Tamilo","C","6-5","So.","Auckland, New Zealand / Baradene College",""
"33","","Saniyah Neverson","F","6-0","Sr.","Surprise, Ariz. / PHH Prep","Northern Arizona"
