"No.","Name","Pos.","Ht.","Yr.","Hometown / High School","Previous School"
"0","Azjah Reeves","G","5-8","Jr.","Oklahoma City, Okla. / Harding Prep","McNeese State"
"1","Kyleigh Ortiz","G","5-6","R-Jr.","Kansas, Okla. / Kansas Public School","Coffeyville CC"
"2","Abby Cater","G","5-7","Gr.","PG County, Md. / Elizabeth Seton HS","Trinity Valley CC/Austin Peay"
"4","Jaila Harding","G","5-8","Gr.","Wichita, Kan. / Wichita Southeast HS","New Mexico State"
"5","Diamond Richardson","G","5-7","Gr.","Sacramento, Calif. / Grant Union HS","Langston"
"7","Fiona Diomande","G","5-11","R-Fr.","Chevilly Larue, Paris, France / Gaspard Monge",""
"8","Bella Belong","F","6-2","Jr.","Yaounde, Cameroon / ","South Plains College"
"11","Jaida McDonald","F","5-11","Jr.","Dallas, Texas / Skyline HS","Pensacola State College"
"12","Bre'Yon White","F","5-11","Gr.","Pearland, Texas / Shadow Creek HS","Oklahoma / TCU"
"14","Taya Davis","G","5-7","Gr.","Decatur, Ill. / MacArthur HS","Fordham"
"21","Treasure Thompson","F","6-2","Gr.","Joliet, Ill. / Bolingbrook HS","LSU/Eastern Michigan/Texas Southern"
"24","Maimouna Sissoko","F","6-3","Sr.","Bamako, Mali / ","Cloud County CC"
"25","Karys Washington","G","5-10","Jr.","Fort Smith, Ark. / Northside HS","Coffeyville CC"
"42","Cheyenne Banks","C","6-4","Gr.","McLoud, Okla. / McLoud HS","Central Arkansas"
"77","Sophie Benharouga","F","6-2","Gr.","Grenoble, France / ","Hartford / Morehead State / North Texas / Seattle U"
